_id,ID,name,price,category,shortDesc,longDesc,couponCode,expiryDate,image
6600b7d816b9718c6b9b2847,6600b7d816b9718c6b9b2846,Discounted Sneakers,49.99,Footwear,Get stylish sneakers at an amazing price!,"These sneakers are perfect for casual wear or workouts. With a comfortable fit and durable design, they'll become your go-to pair!",SNEAKERDEAL,6/30/24,sneakers.jpg
6600b83516b9718c6b9b284c,6600b83516b9718c6b9b284b,Discounted Sneakers,49.99,Footwear,Get stylish sneakers at an amazing price!,"These sneakers are perfect for casual wear or workouts. With a comfortable fit and durable design, they'll become your go-to pair!",SNEAKERDEAL,6/30/24,sneakers.jpg
6600b83516b9718c6b9b284e,6600b83516b9718c6b9b284d,Tech Gadgets Bundle,299.99,Electronics,Upgrade your tech collection with this bundle!,"This bundle includes a high-speed router, wireless headphones, and a smartwatch. Stay connected and entertained with these top-notch gadgets!",TECHSALE,5/31/24,tech_bundle.jpg
6600b83516b9718c6b9b2854,6600b83516b9718c6b9b2853,Fitness Tracker,79.99,Fitness,Monitor your health and reach your fitness goals!,"Track your steps, monitor your heart rate, and analyze your sleep patterns with this advanced fitness tracker. Stay motivated and active!",,10/31/24,fitness_tracker.jpg
6600b83516b9718c6b9b2856,6600b83516b9718c6b9b2855,Cookware Set,149.99,Kitchen,Upgrade your kitchen with this premium cookware set.,"This cookware set includes everything you need to cook like a pro. From frying pans to saucepans, each piece is designed for durability and performance.",KITCHENSALE,9/30/24,cookware_set.jpg
6600b83516b9718c6b9b2858,6600b83516b9718c6b9b2857,Smart Home Security System,399.99,Home,Protect your home with this advanced security system.,"Monitor your home from anywhere with this smart security system. Receive alerts, view live footage, and keep your family safe with ease.",,11/30/24,home_security_system.jpg
6600b83516b9718c6b9b285a,6600b83516b9718c6b9b2859,Wireless Charging Pad,29.99,Electronics,Charge your devices effortlessly with this wireless charging pad.,Say goodbye to tangled cables and cluttered desks. Simply place your device on this charging pad to power up quickly and conveniently.,WIRELESSDEAL,7/31/24,charging_pad.jpg
6600b83516b9718c6b9b285c,6600b83516b9718c6b9b285b,Yoga Mat,34.99,Fitness,Practice yoga comfortably with this premium mat.,"Made from high-quality materials, this yoga mat provides the perfect balance of comfort and stability. Enhance your practice and find your zen.",,8/31/24,yoga_mat.jpg
6600b83516b9718c6b9b285e,6600b83516b9718c6b9b285d,Portable Bluetooth Speaker,59.99,Electronics,Take your music anywhere with this portable speaker.,"Experience powerful sound quality in a compact design. Whether you're at home or on the go, this Bluetooth speaker delivers impressive audio performance.",,9/30/24,bluetooth_speaker.jpg
6600b83516b9718c6b9b2850,6600b83516b9718c6b9b284f,Luxury Watch,999.99,Accessories,Elegant timepiece for any occasion.,"Crafted with precision and luxury in mind, this watch adds sophistication to your style. Perfect for formal events or everyday wear.",,12/31/24,luxury_watch.jpg
6600b83516b9718c6b9b2852,6600b83516b9718c6b9b2851,Designer Handbag,599.99,Fashion,Make a statement with this stylish handbag!,This designer handbag combines fashion and function seamlessly. Carry your essentials in style with this must-have accessory.,DESIGNERDEAL,8/31/24,designer_handbag.jpg
661ffc56e1f62fb63652207d,661ffc56e1f62fb63652207d,Sporty Running Shoes,59.99,Footwear,Run with style and comfort!,These running shoes offer superior comfort and support for your active lifestyle.,RUN20,8/15/24,running_shoes.jpg
661ffc56e1f62fb63652207e,661ffc56e1f62fb63652207e,Modern Backpack,39.99,Accessories,Sleek and stylish backpack for everyday use.,"This modern backpack is perfect for school, work, or travel, offering durability and space for your belongings.",BAG15,9/10/24,backpack.jpg
661ffc56e1f62fb63652207f,661ffc56e1f62fb63652207f,Premium Headphones,89.99,Electronics,Experience top-quality sound with these headphones.,These headphones provide an immersive audio experience with noise cancellation and clear sound quality.,HEADPHONES20,7/20/24,headphones.jpg
661ffc56e1f62fb636522080,661ffc56e1f62fb636522080,Stylish Sunglasses,29.99,Accessories,Protect your eyes in style!,These sunglasses offer UV protection and a fashionable design for everyday wear.,SUNGLASSES10,6/30/24,sunglasses.jpg
661ffc56e1f62fb636522081,661ffc56e1f62fb636522081,Luxury Wallet,49.99,Accessories,Carry your essentials with elegance.,This luxury wallet features high-quality leather and a sleek design for both men and women.,WALLET15,9/1/24,wallet.jpg
